"country","outcome","rung","target","n_resp","n_units","n_regions","n_clusters","mean_clusters_per_unit","share_single_cluster","median_n_per_unit","s2_region","s2_district","s2_cluster","s2_resid","singular","icc_region","icc_district","icc_cluster","ceiling_vc","ceiling_within_vc","cluster_share_of_ceiling","r_max_emp","ce01_within","ce01_cluster","achieved_spearman","headroom_ratio"
"Malawi","child_vitA","district","level",1149,27,3,103,3.81,0.037,39,4e-04,4e-04,0.0041,0.0775,FALSE,0.005,0.0049,0.0492,0.4225,0.6798,0.3785,0.6341,0,0,0.202553400889407,0.4794
"Malawi","women_vitA","admin2","prev",836,87,27,103,1.18,0.851,8,0,0,0,0.013,TRUE,0,0,0,0,0,NA,NA,NA,NA,0.0110626620790122,NA
"Malawi","women_vitA","admin2","level",836,87,27,103,1.18,0.851,8,0.0015,0,0.0034,0.0904,TRUE,0.0161,0,0.036,0.3019,0.5275,0.4277,NA,NA,NA,0.30324961726325,1.0046
"Malawi","women_vitA","district","prev",836,27,3,103,3.81,0.037,29,1e-04,0,0,0.013,TRUE,0.0056,0,0,0.3513,0.3513,0,NA,NA,NA,0.0110626620790122,0.0315
"Malawi","women_vitA","district","level",836,27,3,103,3.81,0.037,29,0.0017,0,0.0039,0.0903,FALSE,0.018,0,0.0408,0.5122,0.6727,0.2386,NA,NA,NA,0.30324961726325,0.592
"Malawi","child_iron","admin2","prev",1149,87,27,103,1.18,0.851,12,0.0047,0,0.0017,0.1544,TRUE,0.0289,0,0.0106,0.4468,0.5165,0.135,0.4487,0.691498026733767,0.753142832939021,0.209963412382395,0.4699
"Malawi","child_iron","admin2","level",1149,87,27,103,1.18,0.851,12,0.0389,0,0.0234,0.5416,TRUE,0.0644,0,0.0388,0.5684,0.7085,0.1978,0.4487,0.691498026733767,0.753142832939021,0.292933950572282,0.5154
"Malawi","child_iron","district","prev",1149,27,3,103,3.81,0.037,39,0.0018,0.0037,0.0014,0.1544,FALSE,0.0113,0.023,0.0089,0.7127,0.7418,0.0392,0.4487,0.691498026733767,0.753142832939021,0.209963412382395,0.2946
"Malawi","child_iron","district","level",1149,27,3,103,3.81,0.037,39,0.0116,0.0317,0.0229,0.5416,FALSE,0.019,0.0522,0.0377,0.799,0.864,0.0753,0.4487,0.691498026733767,0.753142832939021,0.292933950572282,0.3666
"Malawi","women_iron","admin2","prev",781,87,27,103,1.18,0.851,8,8e-04,0.0055,6e-04,0.1397,FALSE,0.0056,0.0372,0.0038,0.4758,0.495,0.0388,0.3947,0.774290895570908,0.807052110120682,0.174465057730167,0.3666
"Malawi","women_iron","admin2","level",781,87,27,103,1.18,0.851,8,0.0109,0.0231,0,0.5403,TRUE,0.0189,0.0402,0,0.5437,0.5437,0,0.3947,0.774290895570908,0.807052110120682,0.243845228548516,0.4485
"Malawi","women_iron","district","prev",781,27,3,103,3.81,0.037,27,0.0026,0,0.0047,0.1399,FALSE,0.018,3e-04,0.0319,0.5137,0.641,0.1987,0.3947,0.774290895570908,0.807052110120682,0.174465057730167,0.3396
"Malawi","women_iron","district","level",781,27,3,103,3.81,0.037,27,0.0038,0.0132,0.0157,0.5431,FALSE,0.0065,0.023,0.0273,0.6121,0.6969,0.1217,0.3947,0.774290895570908,0.807052110120682,0.243845228548516,0.3984
"Malawi","women_folate","admin2","prev",828,87,27,103,1.18,0.851,8,0.0171,0.0035,0.0091,0.1361,FALSE,0.103,0.0214,0.055,0.6597,0.7823,0.1568,0.8305,NA,NA,0.390826483999149,0.5925
"Malawi","women_folate","admin2","level",828,87,27,103,1.18,0.851,8,0.0578,0.0625,0.032,0.2935,FALSE,0.1298,0.1401,0.0718,0.797,0.8891,0.1036,0.8305,NA,NA,0.417604067944886,0.524
"Malawi","women_folate","district","prev",828,27,3,103,3.81,0.037,29,0,0.0172,0.0123,0.1361,TRUE,0,0.1041,0.0742,0.8052,0.8922,0.0975,0.8305,NA,NA,0.390826483999149,0.4854
"Malawi","women_folate","district","level",828,27,3,103,3.81,0.037,29,0,0.0594,0.0889,0.2937,TRUE,0,0.1343,0.2012,0.7723,0.9393,0.1778,0.8305,NA,NA,0.417604067944886,0.5407
"Malawi","women_b12","admin2","prev",839,87,27,103,1.18,0.851,9,5e-04,0,0,0.0263,TRUE,0.017,0,0,0.3374,0.3374,0,NA,NA,NA,0.385794584670814,1.1436
"Malawi","women_b12","admin2","level",839,87,27,103,1.18,0.851,9,0.0903,0.0507,0.0202,0.1967,FALSE,0.2522,0.1416,0.0565,0.8706,0.9263,0.0601,NA,NA,NA,0.696819639862944,0.8004
"Malawi","women_b12","district","prev",839,27,3,103,3.81,0.037,29,0,4e-04,0,0.0263,TRUE,0.0016,0.0159,0,0.5581,0.5581,0,NA,NA,NA,0.385794584670814,0.6912
"Malawi","women_b12","district","level",839,27,3,103,3.81,0.037,29,0.0203,0.077,0.0653,0.1968,FALSE,0.0566,0.2143,0.1815,0.8791,0.9687,0.0925,NA,NA,NA,0.696819639862944,0.7927
"Malawi","child_zinc","admin2","prev",1134,87,27,103,1.18,0.851,11,0.0046,0,0.0405,0.1964,TRUE,0.0192,0,0.1677,0.2671,0.8034,0.6675,0.7985,NA,NA,-0.069592332514665,-0.2605
"Malawi","child_zinc","admin2","level",1133,87,27,103,1.18,0.851,11,0,0,0.0135,0.069,TRUE,0,0,0.1635,0,0.7781,1,0.7985,NA,NA,-0.134575708974266,NA
"Malawi","child_zinc","district","prev",1134,27,3,103,3.81,0.037,37,0.0022,0.0029,0.0406,0.1964,FALSE,0.009,0.0121,0.1678,0.4571,0.8608,0.469,0.7985,NA,NA,-0.069592332514665,-0.1523
"Malawi","child_zinc","district","level",1133,27,3,103,3.81,0.037,37,2e-04,0,0.0134,0.069,TRUE,0.0021,0,0.1619,0.1621,0.8166,0.8015,0.7985,NA,NA,-0.134575708974266,-0.8302
"Malawi","women_zinc","admin2","prev",844,87,27,103,1.18,0.851,8,0.0088,0.0047,0.0313,0.1923,FALSE,0.037,0.0196,0.1321,0.444,0.7872,0.436,0.7909,NA,NA,-0.17821251350691,-0.4014
"Malawi","women_zinc","admin2","level",843,87,27,103,1.18,0.851,8,0.0019,0.0042,0.0104,0.0596,FALSE,0.0255,0.0555,0.1365,0.5095,0.8136,0.3738,0.7909,NA,NA,-0.189332580010206,-0.3716
"Malawi","women_zinc","district","prev",844,27,3,103,3.81,0.037,29,0.0016,0.0081,0.0356,0.1923,FALSE,0.0067,0.0343,0.1497,0.5831,0.8585,0.3208,0.7909,NA,NA,-0.17821251350691,-0.3056
"Malawi","women_zinc","district","level",843,27,3,103,3.81,0.037,29,9e-04,0.0015,0.0144,0.0596,FALSE,0.0117,0.0197,0.1888,0.5063,0.866,0.4153,0.7909,NA,NA,-0.189332580010206,-0.3739
