"target","outcome","heldout","arm","n_domains","spearman"
"level","child_iron","Ghana","fixed_csa",3,0.558207681365576
"level","child_iron","Malawi","full",21,-0.064008165050667
"level","child_iron","Malawi","nested",5,0.0822884012539185
"level","child_iron","Malawi","fixed_cs",2,0.142615003280601
"level","child_iron","Malawi","fixed_csa",3,0.188634541080411
"level","child_iron","SierraLeone","full",21,0.221978021978022
"level","child_iron","SierraLeone","nested",3,0.415384615384615
"level","child_iron","SierraLeone","fixed_cs",2,0.314285714285714
"level","child_iron","SierraLeone","fixed_csa",3,0.415384615384615
"level","women_iron","Gambia","full",21,0.590656284760845
"level","women_iron","Gambia","nested",3,0.429588431590656
"level","women_iron","Gambia","fixed_cs",2,0.712124582869855
"level","women_iron","Gambia","fixed_csa",3,0.746384872080089
"level","women_iron","Ghana","full",21,0.348364153627311
"level","women_iron","Ghana","nested",4,0.391322901849218
"level","women_iron","Ghana","fixed_cs",2,0.319857752489331
"level","women_iron","Ghana","fixed_csa",3,0.340483641536273
"level","women_iron","Malawi","full",21,0.218834293212802
"level","women_iron","Malawi","nested",3,0.023839031858278
"level","women_iron","Malawi","fixed_cs",2,0.289221404097106
"level","women_iron","Malawi","fixed_csa",3,0.3050958664431
"level","women_iron","SierraLeone","full",21,-0.032967032967033
"level","women_iron","SierraLeone","nested",5,0.213186813186813
"level","women_iron","SierraLeone","fixed_cs",2,0.107692307692308
"level","women_iron","SierraLeone","fixed_csa",3,0.107692307692308
"level","women_folate","Ghana","full",21,-0.0689900426742532
"level","women_folate","Ghana","nested",3,0.17149359886202
"level","women_folate","Ghana","fixed_cs",2,-0.00679943100995732
"level","women_folate","Ghana","fixed_csa",3,0.0165007112375533
"level","women_folate","Malawi","full",21,0.0842020850040096
"level","women_folate","Malawi","nested",5,0.274732084274987
"level","women_folate","Malawi","fixed_cs",2,0.279525406429977
"level","women_folate","Malawi","fixed_csa",3,0.29773274039513
"level","women_folate","SierraLeone","full",21,0.195604395604396
"level","women_folate","SierraLeone","nested",1,0.340659340659341
"level","women_folate","SierraLeone","fixed_cs",2,0.103296703296703
"level","women_folate","SierraLeone","fixed_csa",3,0.138461538461538
"level","women_b12","Ghana","full",21,0.594196301564722
"level","women_b12","Ghana","nested",1,0.554594594594595
"level","women_b12","Ghana","fixed_cs",2,0.600455192034139
"level","women_b12","Ghana","fixed_csa",3,0.630953058321479
"level","women_b12","Malawi","full",21,0.449168914485675
"level","women_b12","Malawi","nested",3,0.1440912736021
"level","women_b12","Malawi","fixed_cs",2,0.493402347452067
"level","women_b12","Malawi","fixed_csa",3,0.458354596486112
"level","women_b12","SierraLeone","full",21,0.56043956043956
"level","women_b12","SierraLeone","nested",3,0.318681318681319
"level","women_b12","SierraLeone","fixed_cs",2,0.384615384615385
"level","women_b12","SierraLeone","fixed_csa",3,0.41978021978022
"prev","child_vitA","Gambia","full",21,0.614990994963414
"prev","child_vitA","Gambia","nested",3,0.452166504808305
"prev","child_vitA","Gambia","fixed_cs",2,0.376879668047119
"prev","child_vitA","Gambia","fixed_csa",3,0.437242782728425
"prev","child_vitA","Ghana","full",21,0.339456794832941
"prev","child_vitA","Ghana","nested",2,0.352927980666986
"prev","child_vitA","Ghana","fixed_cs",2,0.243378474724801
"prev","child_vitA","Ghana","fixed_csa",3,0.260338498327705
"prev","child_vitA","Malawi","full",21,0.177596935763818
"prev","child_vitA","Malawi","nested",1,-0.0457039309312051
"prev","child_vitA","Malawi","fixed_cs",2,0.0504482836230257
"prev","child_vitA","Malawi","fixed_csa",3,0.0468787230263226
"prev","child_vitA","SierraLeone","full",21,0.010989010989011
"prev","child_vitA","SierraLeone","nested",4,-0.186813186813187
"prev","child_vitA","SierraLeone","fixed_cs",2,0.402197802197802
"prev","child_vitA","SierraLeone","fixed_csa",3,0.384615384615385
"prev","women_vitA","Gambia","full",21,0.456419378295662
"prev","women_vitA","Gambia","nested",4,0.167079998635738
"prev","women_vitA","Gambia","fixed_cs",2,0.609654264684899
"prev","women_vitA","Gambia","fixed_csa",3,0.596278478277263
"prev","women_vitA","Ghana","full",21,0.0779192998175984
"prev","women_vitA","Ghana","nested",4,0.0489668787734802
"prev","women_vitA","Ghana","fixed_cs",2,0.208662145605842
"prev","women_vitA","Ghana","fixed_csa",3,0.194715998347848
"prev","women_vitA","Malawi","full",21,0.199236715102281
"prev","women_vitA","Malawi","nested",4,0.214330405640332
"prev","women_vitA","Malawi","fixed_cs",2,0.0875434051206991
"prev","women_vitA","Malawi","fixed_csa",3,0.153955643488126
"prev","women_vitA","SierraLeone","full",21,0.185410764710102
"prev","women_vitA","SierraLeone","nested",5,0.391944274766924
"prev","women_vitA","SierraLeone","fixed_cs",2,0.312147236790425
"prev","women_vitA","SierraLeone","fixed_csa",3,0.316841180200807
"prev","child_iron","Gambia","full",21,0.506174216059095
"prev","child_iron","Gambia","nested",1,0.441205921074806
"prev","child_iron","Gambia","fixed_cs",2,0.538435869390334
"prev","child_iron","Gambia","fixed_csa",3,0.556680390584552
"prev","child_iron","Ghana","full",21,0.567655037475913
"prev","child_iron","Ghana","nested",5,0.422550199559828
"prev","child_iron","Ghana","fixed_cs",2,0.579848241409824
"prev","child_iron","Ghana","fixed_csa",3,0.568568813883138
"prev","child_iron","Malawi","full",21,-0.0945258551367086
"prev","child_iron","Malawi","nested",2,-0.0986939674290162
"prev","child_iron","Malawi","fixed_cs",2,0.141159461593095
"prev","child_iron","Malawi","fixed_csa",3,0.172625517191479
"prev","child_iron","SierraLeone","full",21,0.243956043956044
"prev","child_iron","SierraLeone","nested",4,0.340659340659341
"prev","child_iron","SierraLeone","fixed_cs",2,0.221978021978022
"prev","child_iron","SierraLeone","fixed_csa",3,0.402197802197802
"prev","women_iron","Gambia","full",21,0.548225612470158
"prev","women_iron","Gambia","nested",3,0.280342642740422
"prev","women_iron","Gambia","fixed_cs",2,0.734898213469534
"prev","women_iron","Gambia","fixed_csa",3,0.798531543488391
"prev","women_iron","Ghana","full",21,0.348697687065786
"prev","women_iron","Ghana","nested",5,0.408480599785338
"prev","women_iron","Ghana","fixed_cs",2,0.302497221905141
"prev","women_iron","Ghana","fixed_csa",3,0.33692815093953
"prev","women_iron","Malawi","full",21,0.212477804374717
"prev","women_iron","Malawi","nested",3,0.211783583711328
"prev","women_iron","Malawi","fixed_cs",2,0.165770638141878
"prev","women_iron","Malawi","fixed_csa",3,0.228750336724565
"prev","women_iron","SierraLeone","full",21,-0.195604395604396
"prev","women_iron","SierraLeone","nested",5,0.261538461538461
"prev","women_iron","SierraLeone","fixed_cs",2,0.0593406593406593
"prev","women_iron","SierraLeone","fixed_csa",3,0.12967032967033
"prev","women_folate","Ghana","full",21,0.0361146810839279
"prev","women_folate","Ghana","nested",1,0.0379389427961389
"prev","women_folate","Ghana","fixed_cs",2,0.0759491458154111
"prev","women_folate","Ghana","fixed_csa",3,0.0501957011750568
"prev","women_folate","Malawi","full",21,0.208895923502208
"prev","women_folate","Malawi","nested",3,0.144312352482275
"prev","women_folate","Malawi","fixed_cs",2,0.435590029159232
"prev","women_folate","Malawi","fixed_csa",3,0.38180451844243
"prev","women_folate","SierraLeone","full",21,0.120879120879121
"prev","women_folate","SierraLeone","nested",3,0.362637362637363
"prev","women_folate","SierraLeone","fixed_cs",2,-0.0197802197802198
"prev","women_folate","SierraLeone","fixed_csa",3,-0.0901098901098901
"prev","women_b12","Ghana","full",21,0.233634645402255
"prev","women_b12","Ghana","nested",1,-0.22880695518546
"prev","women_b12","Ghana","fixed_cs",2,0.291817885633299
"prev","women_b12","Ghana","fixed_csa",3,0.307523589815136
"prev","women_b12","Malawi","full",21,0.262882146687943
"prev","women_b12","Malawi","nested",1,-0.0686826498353705
"prev","women_b12","Malawi","fixed_cs",2,0.234119668100649
"prev","women_b12","Malawi","fixed_csa",3,0.204081202304512
"prev","women_b12","SierraLeone","full",21,-0.151411196783981
"prev","women_b12","SierraLeone","nested",4,-0.0853408563691529
"prev","women_b12","SierraLeone","fixed_cs",2,0.0908467180703886
"prev","women_b12","SierraLeone","fixed_csa",3,0.214728606348191
